oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF25acfgotd,61.41884834971279,-1.9481413083901074e+40,5.652862716000558e+41,0.0986292273643414,1.9901683650402197e+49,14,78.98444439982995
ZTF25acdheca,95.44407989969477,-2.7047760365385362e+42,5.183676370496887e+42,0.9515678401747406,3.095524058324812e+51,33,107.88285879977047
ZTF25acbxwck,61.90111109986901,3.080211555466355e+39,1.0109555998297469e+42,0.20288309483923514,5.762051279300542e+49,12,65.91236109985039
ZTF25acberoe,64.42398145026527,2.714956245795255e+39,1.3125107479193389e+42,0.3211349278485982,9.650079681109038e+49,4,107.87569440016523
ZTF25acargjq,63.87612270005047,7.446942819934677e+38,8.09645409786751e+41,0.08469163297353068,4.87736114062973e+49,25,99.8139583999291
ZTF25abzswyh,66.83726849989034,-2.493517422383028e+40,2.1986808079071262e+42,0.2829215222580997,3.2704836713277668e+50,22,87.84366899961606
ZTF25abzklfa,79.97339699999429,-1.0055687422378926e+42,1.7500877265340995e+42,0.37722852938086165,2.689690783826273e+50,37,83.94629629980773
ZTF25abxxkod,60.01708335010335,-4.605773151667531e+40,1.2700516743912357e+42,0.15394726087541655,9.526140558046226e+49,28,89.94844909990206
ZTF25abubydw,85.77074075001292,2.8564172498134144e+40,5.198271246476573e+42,1.9038776626414962,2.0510594653596388e+51,19,86.76031249994412
ZTF25abxcktl,100.42626734962687,-6.580346750947744e+41,1.8384937652015785e+42,0.1409720574484048,6.341182033042037e+50,46,101.95622679963708
ZTF25abxcfzb,65.43550925003365,-7.715136093789617e+38,3.52320805576549e+41,0.05095614963038697,9.900893727020832e+48,12,67.94476850004867
ZTF25abwwabv,63.78712374996394,1.6856962942005666e+41,1.4424592769478887e+42,0.28285561410039245,1.1995353431727069e+50,21,64.7472337000072
ZTF25abwkiga,65.90713540022261,1.3754258171255924e+41,-1.5432825917582545e+42,0.1283784918691058,,25,70.83613430010155
ZTF25abtieic,99.82508680014871,-2.1980868817704314e+40,1.349416833877139e+42,0.17508941850751641,3.0328526225226354e+50,28,110.74785879999399
ZTF25absindv,78.36123259994201,-1.0429092741939088e+39,1.8476868137959445e+42,0.022879300364999404,6.3480374596783225e+50,18,85.76700229989365
ZTF25abphhyk,97.25598959997296,-2.209783582542716e+40,9.086676262247296e+41,0.10858503561897738,1.4040144195399534e+50,29,101.75165509991348
ZTF25ablvnyr,69.42808449966833,2.8579570337709313e+41,6.7621263989333435e+41,3.391691878562057,1.4033059729957756e+49,20,107.86256939964369
ZTF25ablihfx,61.88528350018896,1.0162364142243917e+42,-3.2927329728554003e+43,0.13534683859911356,,25,78.87460640026256
ZTF25abibtdm,60.45192704978399,-1.862168943545003e+42,6.2472254370850215e+41,0.02647828456347837,3.448700855872476e+49,32,79.99798609968275
ZTF25abiiuxz,65.81645249994472,-9.64028106839475e+40,5.055752189963361e+42,0.6524035570688572,1.4990104483959544e+51,16,77.75696749985218
ZTF25abeefof,101.29766199993901,-1.4075505404612448e+40,2.2124449713350134e+42,0.31564768930758086,7.668629231442265e+50,37,106.72993050003424
ZTF25aawngni,62.873524349881336,-1.867174545149089e+41,5.781660651497169e+42,0.5638439664452082,1.8930437801017267e+51,32,100.88403939967975
ZTF25aawdpdu,64.81969325011596,-6.382827226279792e+42,9.519780942358642e+41,0.17916683474428702,5.773748239131677e+49,59,101.81474540010095
ZTF25aauhbec,60.943032450275496,-1.6209675979428755e+40,1.8429766418447084e+42,0.1841383975126874,2.0814806911628487e+50,15,67.95130790024996
ZTF25aatqacd,74.89548034989275,-5.197999368944864e+40,1.9397998583376748e+42,0.2582399974510732,3.25253493785198e+50,26,86.92721069976687
ZTF25aarzwve,60.38467015023343,-1.8888386529864358e+40,4.976119565456338e+42,0.6348652835135613,1.2192375720061623e+51,25,68.843217600137
ZTF25aaqqjud,108.859091399936,-9.282065319145078e+42,3.253138392659532e+43,20.716126780607645,8.89085557622481e+52,44,208.724386499729
ZTF25aaoxrmn,134.27475119987503,-4.036438729236083e+39,1.6813414120344743e+41,0.03565443101930322,1.0040453074740172e+49,59,180.6510763997212
ZTF25aanmnao,64.90484380000271,-2.1991877569251904e+41,5.780587270345558e+42,0.716961152655016,1.890812370194111e+51,36,178.6349189998582
ZTF25aalyfoi,61.714623800013214,-3.0596323785909733e+40,1.2368859171248514e+42,0.1735672841264751,9.225173902055439e+49,19,69.72359950002283
ZTF25aalpzgd,63.39705440029502,-2.545314752055057e+40,1.973450015753661e+42,0.19545200550967815,2.575021968075415e+50,21,68.89750000042841
ZTF25aajqtfg,61.99668405018747,-4.885225828789918e+43,8.44845153822203e+41,0.09699997285427753,4.833521438551287e+49,26,93.8662384999916
ZTF25aaixhor,65.99155679997057,2.8319350355438156e+40,6.579105970331736e+41,0.1272995814947416,2.98277914809969e+49,12,66.96892370004207
ZTF25aaggkxk,95.77476855018176,-1.5756532454662295e+41,1.887666903723485e+43,17.182350974312932,2.2266944452760115e+52,36,359.0154166999273
ZTF25aafrcem,61.538292849902064,2.901249386881756e+40,2.3704790478643928e+42,0.426772260145532,2.882678311570833e+50,16,72.00025459984317
