"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"201813","SN 2026dyr","12:57:56.189","+27:59:40.50","SN IIP","0.0152","","","GOTO, ATLAS, YSE, ZTF, Pan-STARRS, BlackGEM","GOTO, ATLAS, Pan-STARRS, ZTF, BlackGEM","PRESTO","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","GOTO26bkn","ATLAS-MLO - ATLAS-01, ATLAS-TDO - ATLAS-05, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.08","L-GOTO","2026-02-22 02:35:26.016","GOTO_bot","","","2026TNSTR.736....1O","2026TNSCR.830....1S","",""
"193624","SN 2025aewb","21:10:48.254","+43:40:45.96","SN IIP","0.012523","","","ZTF","ZTF","CET-3PO","ZTF","","Other - Other, P48 - ZTF-Cam","CA-2.2m - CAFOS","1","1","","18.05","Clear-","2025-11-24 12:59:59.424","Ziyang Mai","","","2025TNSTR4722....1M","2025TNSCR5130....1K","",""
"193119","SN 2025aedb","23:03:01.776","-00:50:38.66","SN IIP","0.022","","","GOTO, ATLAS, YSE","GOTO, ATLAS, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS","GOTO25khs","ATLAS-STH - ATLAS-03, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, PS2 - GPC2","UH88 - SNIFS","1","1","","18.52","L-GOTO","2025-11-17 19:48:08.640","GOTO_bot","","","2025TNSTR4635....1O","2025TNSCR4741....1K","",""
"191821","SN 2025acfm","01:43:00.374","-34:11:35.13","SN IIP","0.0139","","","ATLAS, BlackGEM, GOTO","ATLAS, BlackGEM, GOTO","BlackGEM","ATLAS, BlackGEM, GOTO","ATLAS25nsq","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, BG3 - BlackGEM-Cam3, GOTO-S - GOTO-3, GOTO-S - GOTO-4","NOT - ALFOSC","1","1","","18.401","orange-ATLAS","2025-11-02 08:31:22.368","ATLAS_Bot1","","","2025TNSTR4418....1T","2025TNSCR4532....1T","",""
"191460","SN 2025absv","04:23:47.254","-51:36:09.11","SN IIP","0.0206","","","ATLAS","ATLAS","POISE","ATLAS","ATLAS25nji","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","Magellan-Baade - IMACS","1","1","","18.816","cyan-ATLAS","2025-10-23 22:44:17.952","ATLAS_Bot1","","","2025TNSTR4309....1T","2025TNSCR4350....1B","",""
"190892","SN 2025aaxd","07:25:03.598","-76:14:52.37","SN IIP","0.0146","","","ATLAS, GOTO","ATLAS, GOTO","Supernova Alliance","ATLAS, GOTO","ATLAS25mxj","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ANU-2.3m - WiFeS","1","1","","18.675","orange-ATLAS","2025-10-19 07:39:01.728","ATLAS_Bot1","","","2025TNSTR4182....1T","2025TNSCR4629....1S","",""
"190720","SN 2025aaqp","05:13:32.006","-28:13:50.71","SN IIP","0.04","","","ATLAS, GOTO","ATLAS, GOTO","NUTS2","ATLAS, GOTO","ATLAS25mue","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","NOT - ALFOSC","1","1","","18.953","cyan-ATLAS","2025-10-17 00:30:43.776","ATLAS_Bot1","","","2025TNSTR4155....1T","2025TNSCR4403....1S","",""
"190235","SN 2025aaaa","18:44:49.366","+58:04:13.71","SN IIP","0.026","GALEXASC J184449.82+580412.4","","ALeRCE, ATLAS, GOTO","ZTF, ATLAS, GOTO","None","ATLAS, GOTO, ZTF","ZTF25abwjmwj","ATLAS-MLO - ATLAS-01, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.3361","g-ZTF","2025-10-11 05:13:40.002","ALeRCE","","","2025TNSTR4066....1F","2025TNSCR4262....1J","",""
"189953","SN 2025zpg","22:18:23.162","-59:38:33.57","SN IIP","0.016","","","GOTO, ATLAS, MASTER","GOTO, ATLAS, MASTER","BlackGEM","ATLAS, GOTO, MASTER","GOTO25ihq","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4, Other - Other","Lesedi - Mookodi","1","1","","17.9","L-GOTO","2025-10-05 11:28:51.168","GOTO_bot","","","2025TNSTR4008....1O","2025TNSCR4150....1d","",""
"189176","SN 2025yma","23:49:58.270","-25:10:18.70","SN IIP","0.044","","","ATLAS, GOTO, LAST, BlackGEM, Pan-STARRS","ATLAS, GOTO, LAST, BlackGEM, Pan-STARRS","TCD","ATLAS, BlackGEM, GOTO, LAST, Pan-STARRS","ATLAS25lwd","ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-2, GOTO-S - GOTO-4, LAST - LAST-Cam, ML1 - MeerLICHT-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.262","orange-ATLAS","2025-09-22 22:59:43.296","ATLAS_Bot1","","","2025TNSTR3842....1T","2025TNSCR4046....1O","",""
"188149","SN 2025wzh","05:10:47.455","-22:30:25.29","SN IIP","0.04","","","GOTO, ATLAS, ZTF, DESIRT, Pan-STARRS","GOTO, ATLAS, ZTF, DESIRT, Pan-STARRS","TCD","ATLAS, DESIRT, GOTO, Pan-STARRS, ZTF","GOTO25gwd","ATLAS-STH - ATLAS-03, CTIO-4m - DECAM, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","19.13","L-GOTO","2025-09-06 05:15:19.008","GOTO_bot","","","2025TNSTR3585....1O","2025TNSCR4046....1O","",""
"184230","SN 2025rje","19:46:41.336","-13:57:54.34","SN IIP","0.025","","","GOTO, ATLAS, ZTF","GOTO, ATLAS, ZTF","BlackGEM","ATLAS, GOTO, ZTF","GOTO25ezt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","19.92","L-GOTO","2025-07-16 15:19:00.480","GOTO_bot","","","2025TNSTR2752....1O","2025TNSCR3292....1T","",""
"183442","SN 2025qgz","02:31:41.576","+02:47:59.35","SN IIP","0.028","","","ATLAS, GOTO, BlackGEM, WFST, ALeRCE, Pan-STARRS","ATLAS, GOTO, BlackGEM, WFST, ZTF, Pan-STARRS","BlackGEM","ATLAS, BlackGEM, GOTO, Pan-STARRS, WFST, ZTF","ATLAS25gze","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","NOT - ALFOSC","1","1","","18.272","orange-ATLAS","2025-07-03 10:01:17.184","ATLAS_Bot1","","","2025TNSTR2553....1T","2025TNSCR3115....1T","",""
"183357","SN 2025qdv","02:32:47.593","+00:40:41.52","SN IIP","0.023","","","BlackGEM, ATLAS","BlackGEM, ATLAS","BlackGEM","ATLAS, BlackGEM","BGEM J023247.59+004041.5","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, BG3 - BlackGEM-Cam3","NOT - ALFOSC","1","1","","16.43","BG-q-BlackGem","2025-06-09 10:35:45.000","BlackGEM_Bot1","","","2025TNSTR2535....1P","2025TNSCR3115....1T","",""
"182763","SN 2025pht","04:41:28.861","-02:51:55.61","SN IIP","","NGC 1637","0.002392","ASAS-SN, BlackGEM, ZTF, GOTO, ATLAS","ASAS-SN, BlackGEM, ZTF, GOTO, ATLAS","None","ASAS-SN, ATLAS, BlackGEM, GOTO, ZTF","ASASSN-25cw","ASASSN-2 - Cassius, ASASSN-5 - Payne-Gaposchkin, ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG3 - BlackGEM-Cam3, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","SOAR - Goodman","1","1","","13.3","g-Sloan","2025-06-29 10:19:12.000","Krzysztof Stanek","","","2025TNSTR2462....1S","2025TNSCR2547....1S","",""
"182478","SN 2025oww","23:54:16.879","-03:08:36.98","SN IIP","0.055","WISEA J235416.34-030839.2","","ALeRCE","ZTF","SCAT","ZTF","ZTF25aaxdwjf","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.8225","r-ZTF","2025-06-24 10:24:54.999","ALeRCE","","","2025TNSTR2391....1M","2025TNSCR2441....1S","",""
"176107","SN 2025ftr","10:26:02.932","-03:24:56.49","SN IIP","0.034","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","NUTS2","ATLAS, GOTO, ZTF","ZTF25aakqyxk","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","19.8568","r-ZTF","2025-03-25 05:29:06.002","Fritz","","","2025TNSTR1135....1R","2025TNSCR1197....1G","",""
"175482","SN 2025evv","10:26:11.098","-45:43:46.55","SN IIP","0.0159","","","ATLAS, GOTO","ATLAS, GOTO","DEBASS","ATLAS, GOTO","ATLAS25cug","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3","ANU-2.3m - WiFeS","1","1","","18.548","orange-ATLAS","2025-03-19 06:08:30.624","ATLAS_Bot1","","","2025TNSTR1043....1T","2025TNSCR2008....1M","",""
"174212","SN 2025dux","12:14:00.137","+24:38:30.36","SN IIP","0.02","","","ATLAS, GOTO, BlackGEM, Pan-STARRS, ALeRCE","ATLAS, GOTO, BlackGEM, Pan-STARRS, ZTF","GOTO","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","ATLAS25cnr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, BG2 - BlackGEM-Cam2, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","CA-2.2m - CAFOS","1","1","","18.017","orange-ATLAS","2025-03-08 09:54:29.376","ATLAS_Bot1","","","2025TNSTR.917....1T","2025TNSCR1202....1P","",""
"173027","SN 2025cem","12:10:42.292","+13:19:56.29","SN IIP","0.02267","","","ATLAS, GOTO","ATLAS, GOTO","SCAT","ATLAS, GOTO","ATLAS25bux","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2","UH88 - SNIFS","1","1","","19.206","orange-ATLAS","2025-02-20 10:37:38.784","ATLAS_Bot1","","","2025TNSTR.689....1T","2025TNSCR.711....1H","",""
"168167","SN 2024adsy","11:42:15.027","+19:04:13.89","SN IIP","0.024","","","GOTO, ATLAS, ZTF, Pan-STARRS, BlackGEM","GOTO, ATLAS, ZTF, Pan-STARRS, BlackGEM","ePESSTO+","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","GOTO24iwu","ATLAS-HKO - ATLAS-02, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.24","L-GOTO","2024-12-09 06:35:21.120","GOTO_bot","","","2024TNSTR4829....1R","2025TNSCR.337....1D","",""
"166896","SN 2024abxo","05:57:29.670","-29:57:43.48","SN IIP","0.027799","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS","ATLAS24qlt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4, PS1 - GPC1","UH88 - SNIFS","1","1","","18.831","orange-ATLAS","2024-11-21 01:48:44.928","ATLAS_Bot1","","","2024TNSTR4598....1T","2024TNSCR4656....1H","",""
"166571","SN 2024ablg","05:44:09.830","-51:24:40.79","SN IIP","0.052","","","ATLAS, GOTO, GaiaAlerts, BlackGEM","ATLAS, GOTO, GaiaAlerts, BlackGEM","ePESSTO+","ATLAS, BlackGEM, GaiaAlerts, GOTO","ATLAS24qgc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.5","orange-ATLAS","2024-11-18 04:26:48.192","ATLAS_Bot1","[Prefix updated to TDE by admin on 2025-01-26]","","2024TNSTR4527....1T","2024TNSCR4573....1G, 2025TNSCR.528....1F","",""
"166033","SN 2024aaqs","00:28:13.673","+30:48:17.05","SN IIP","0.02126","","","ZTF, Pan-STARRS, ATLAS, YSE","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS, Pan-STARRS, YSE, ZTF","ZTF24abrfhyl","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","GTC - OSIRIS","1","1","","20.564","g-ZTF","2024-11-04 08:48:38.001","Fritz","","","2024TNSTR4385....1S","2024TNSCR4731....1B","",""
"165952","SN 2024aanq","10:04:29.669","+14:45:49.39","SN IIP","0.024","SDSS J100429.50+144609.1","","ALeRCE","ZTF","SCAT","ALeRCE","ZTF24abqwubu","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.1851","r-ZTF","2024-11-05 11:25:48.000","ALeRCE","","","2024TNSTR4319....1M","2024TNSCR4411....1D","",""
"165516","SN 2024zxb","05:07:45.893","+16:06:01.56","SN IIP","0.04","","","ATLAS, LAST, ZTF, Pan-STARRS","ATLAS, LAST, ZTF, Pan-STARRS","TCD","ATLAS, LAST, Pan-STARRS, ZTF","ATLAS24pww","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, LAST - LAST-Cam, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","19.399","cyan-ATLAS","2024-10-31 11:43:02.208","ATLAS_Bot1","","","2024TNSTR4232....1T","2024TNSCR4392....1T","",""
