"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"174716","SN 2025efp","04:35:09.729","+39:44:25.08","SN II","0.0195","","","ZTF","ZTF","ZTF","ZTF","ZTF25aadjaew","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.9904","r-ZTF","2025-01-31 05:12:47.998","ZTF_CATS150","","","2025TNSTR.976....1L","2025TNSCR1039....1D","",""
"172875","SN 2025bys","07:05:18.797","+58:08:39.60","SN II","0.04","","","ZTF, ATLAS, GOTO, Fink, LAST","ZTF, ATLAS, GOTO, LAST","ZTF","ATLAS, GOTO, LAST, ZTF","ZTF25aafrcem","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, LAST - LAST-Cam, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.0977","g-ZTF","2025-02-17 04:12:20.001","Fritz","","","2025TNSTR.680....1R","2025TNSCR.948....1W","",""
"172874","SN 2025byr","00:53:25.694","+29:17:14.91","SN II","0.015044","","","ZTF","ZTF","ZTF","ZTF","ZTF25aafqxkt","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","17.4193","g-ZTF","2025-02-17 03:40:50.001","Fritz","","","2025TNSTR.681....1J","2025TNSCR.916....1D","",""
"172835","SN 2025bxe","01:33:34.245","+12:35:17.17","SN II","0.013966","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS25brn","ATLAS-HKO - ATLAS-02, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.327","orange-ATLAS","2025-02-18 06:01:22.080","ATLAS_Bot1","","","2025TNSTR.653....1T","2025TNSCR.787....1S","",""
"172615","SN 2025btb","16:46:57.084","+34:08:57.68","SN II","0.030169","","","ATLAS, ZTF, GOTO, Pan-STARRS","ATLAS, ZTF, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS25bqd","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.606","orange-ATLAS","2025-02-16 14:58:20.640","ATLAS_Bot1","","","2025TNSTR.623....1T","2025TNSCR.745....1S","",""
"172578","SN 2025bsi","07:53:11.678","+13:01:43.75","SN II","0.029937","","","GOTO, ZTF","GOTO, ZTF","ZTF","GOTO, ZTF","GOTO25aie","GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.7","L-GOTO","2025-02-16 11:43:03.072","GOTO_bot","","","2025TNSTR.625....1O","2025TNSCR.745....1S","",""
"172037","SN 2025bdt","19:12:09.369","+58:28:26.38","SN II","0.04","","","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF25aafejer","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.3905","r-ZTF","2025-02-04 13:45:04.003","Fritz","","","2025TNSTR.565....1S","2025TNSCR1037....1J","",""
"171569","SN 2025ann","16:56:41.836","+02:52:12.49","SN II","0.030498","","","ZTF, ATLAS, YSE, Pan-STARRS, GOTO, LAST","ZTF, ATLAS, Pan-STARRS, GOTO, LAST","ZTF","ATLAS, GOTO, LAST, Pan-STARRS, ZTF","ZTF25aabaanf","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P200 - NGPS","1","1","","19.0542","r-ZTF","2025-01-01 13:28:56.003","Fritz","","","2025TNSTR.430....1S","2025TNSCR.668....1R","",""
"171541","SN 2025aml","01:50:14.106","+27:38:39.71","SN II","0.011798","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF25aadhlrs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","18.1168","g-ZTF","2025-01-31 02:40:53.999","Fritz","","","2025TNSTR.431....1R","2025TNSCR.435....1W","",""
"171514","SN 2025alk","08:27:25.176","+01:50:52.46","SN II","0.031422","","","GOTO, BlackGEM, ATLAS, ZTF, LAST, Pan-STARRS","GOTO, BlackGEM, ATLAS, ZTF, LAST, Pan-STARRS","ZTF","ATLAS, BlackGEM, GOTO, LAST, Pan-STARRS, ZTF","GOTO25xp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-4, LAST - LAST-Cam, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.89","L-GOTO","2025-01-30 12:47:10.464","GOTO_bot","","","2025TNSTR.416....1O","2025TNSCR.575....1S","",""
"171423","SN 2025ail","08:53:01.530","+41:49:28.62","SN II","0.04256676","","","ATLAS, ZTF, GOTO, LAST, Pan-STARRS","ATLAS, ZTF, GOTO, LAST, Pan-STARRS","ZTF","ATLAS, GOTO, LAST, Pan-STARRS, ZTF","ATLAS25bbf","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.064","cyan-ATLAS","2025-01-28 11:18:36.864","ATLAS_Bot1","","","2025TNSTR.382....1T","2025TNSCR.746....1W, 2025TNSCR.746....1W","",""
"171344","SN 2025afq","15:36:58.094","-15:32:42.83","SN II","0.02594","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","ZTF","ATLAS, GOTO, ZTF","ATLAS25aym","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, P48 - ZTF-Cam","SOAR - Goodman","1","1","","18.315","orange-ATLAS","2025-01-19 15:26:13.344","ATLAS_Bot1","","","2025TNSTR.352....1T","2025TNSCR.666....1D","",""
"171285","SN 2025adj","14:59:44.465","+51:27:47.06","SN II","0.011389","","","ATLAS, ZTF, GOTO, Pan-STARRS","ATLAS, ZTF, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS25awc","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","17.248","orange-ATLAS","2025-01-24 14:37:35.616","ATLAS_Bot1","","","2025TNSTR.328....1T","2025TNSCR.351....1W","",""
"171265","SN 2025acp","13:23:11.016","+32:10:41.37","SN II","0.042","SDSS J132311.26+321043.3","","ALeRCE, ATLAS, GOTO, YSE, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF25aaddjzf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.3219","g-ZTF","2025-01-24 09:49:01.998","ALeRCE","","","2025TNSTR.326....1M","2025TNSCR.665....1W","",""
"171082","SN 2025yp","03:42:44.254","+43:53:01.31","SN II","0.027052","","","Pan-STARRS, ATLAS, ZTF, DAO_OTS","Pan-STARRS, ATLAS, ZTF, DAO_OTS","ZTF","ATLAS, DAO_OTS, Pan-STARRS, ZTF","PS25hi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, Plaskett - Plaskett, PS2 - GPC2","LT - SPRAT","1","1","","19.92","w-P1","2025-01-18 06:44:15.936","PS1_Bot1","","","2025TNSTR.290....1C","2025TNSCR.767....1W","",""
